"","Sample","Date","Site","Province","District","Lineages","Abundances","Coverage"
"1","ENV-COV-21-199",2021-10-05,"Central Wastewater Treatment Works (KZN)","KwaZulu-Natal","Ethekwini MM","BQ.1.1.38 EW.3","0.99680118 0.00119282",98.167408
"2","ENV-COV-21-224",2021-10-18,"Central Wastewater Treatment Works (KZN)","KwaZulu-Natal","Ethekwini MM","XBB.1.9.1 XBB.1.5.84 XBB.1.5.57 XBB.1.5.83 XBB.1.5.25 XBB.1.22 XBB.1.5.88 XBB.1.5.65 XBB.1.5.42 XBB.1.5.16 FH.1 FL.13.1 BQ.1.1.37 BQ.1.1.36","0.28353176 0.19571000 0.10845420 0.09272920 0.08227850 0.08004797 0.05597010 0.04797050 0.01675979 0.01120447 0.00934564 0.00535713 0.00483091 0.00237314",94.973748
"3","ENV-COV-22-0412",2022-06-07,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","BA.4 BE.6 BA.4.1","0.66113329 0.20347464 0.13137887",88.760325
"4","ENV-COV-22-169",2022-05-31,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","BA.4","0.99958963",76.871886
"5","ENV-COV-22-171",2022-05-31,"Hartebeesfontein Waterworks","Gauteng","Ekurhuleni MM","BA.4","0.99975324",82.008494
"6","ENV-COV-22-172",2022-05-31,"Goudkoppies Wastewater Treatment Works","Gauteng","Johannesburg MM","BF.12 BA.5.1.34 BA.5.1.23 BA.5.1 BA.5 BF.8 BA.5.2.1 BF.41 BT.2 BT.1 BA.5.1.21 BA.2","0.14334956 0.10035026 0.10035026 0.10035026 0.10035026 0.07897582 0.07897582 0.07897582 0.06831837 0.06831837 0.06831837 0.00860138",78.487108
"7","ENV-COV-22-175",2022-06-07,"Goudkoppies Wastewater Treatment Works","Gauteng","Johannesburg MM","BA.5.5 BA.1.19 BA.4.1.9","0.42101332 0.32708624 0.24867688",90.903923
"8","ENV-COV-22-177",2022-06-14,"Hartebeesfontein Waterworks","Gauteng","Ekurhuleni MM","BA.4.1 BA.4.1.9 BA.5 BA.5.5 BA.4.1.8 BA.4.8 BA.5.11 BA.4.3","0.28997999 0.20455792 0.15472700 0.13194017 0.10640200 0.06827457 0.03811591 0.00228729",99.240879
"9","ENV-COV-22-182",2022-06-21,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","BA.4.1.6 BA.4.1 BA.4","0.33313293 0.33313293 0.33313293",58.803465
"10","ENV-COV-22-183",2022-06-28,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","BF.3 BF.38.1 BF.38 BF.28 BF.39 BF.4 BF.6 BF.31 BF.12 BA.5.2.1 BF.18 BF.8 BA.5.2 BA.5.5 BF.10.1 BF.10","0.07027336 0.07027336 0.07027336 0.07027336 0.07027336 0.07027336 0.07027336 0.07027336 0.07027336 0.07027336 0.07027336 0.07027336 0.07027336 0.04526400 0.01855225 0.01855225",59.281677
"11","ENV-COV-22-187",2022-07-11,"ERWAT Vlakplaat Wastewater Treatment Works","Gauteng","Ekurhuleni MM","BA.4.1.8","0.99733987",57.72665
"12","ENV-COV-22-188",2022-07-11,"Goudkoppies Wastewater Treatment Works","Gauteng","Johannesburg MM","BE.1 BA.4.8","0.81522971 0.18279062",90.730027
"13","ENV-COV-22-189",2022-07-12,"Hartebeesfontein Waterworks","Gauteng","Ekurhuleni MM","BA.5.2.1 BA.4.8 XAR BA.5 BF.33 BA.4.1.8 BA.5.6","0.39328663 0.31961168 0.10653119 0.07717081 0.05788540 0.03291140 0.01033928",99.21747
"14","ENV-COV-22-191",2022-07-12,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","BA.4.1.8","0.999411",50.881182
"15","ENV-COV-22-193",2022-07-19,"Goudkoppies Wastewater Treatment Works","Gauteng","Johannesburg MM","XV BA.5.3.3 BA.5.3 B.1.1.529 XS","0.47408015 0.21570287 0.21570287 0.09047791 0.00112022",71.400863
"16","ENV-COV-22-195",2022-07-20,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","AY.38 B.1.1.529 AY.65","0.87929978 0.07248302 0.04195018",95.605792
"17","ENV-COV-22-197",2022-07-26,"Hartebeesfontein Waterworks","Gauteng","Ekurhuleni MM","BA.4 BA.4.7 BA.5 BA.2.19","0.40453888 0.33203700 0.25906674 0.00131406",86.436144
"18","ENV-COV-22-198",2022-07-27,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","BA.5.5 BA.4.1.8","0.99756211 0.00185549",74.855366
"19","ENV-COV-22-214",2022-08-02,"Goudkoppies Wastewater Treatment Works","Gauteng","Johannesburg MM","BA.5.5 BA.4.1.8 BA.4.1.9 BA.5","0.71846930 0.18213101 0.05133861 0.04454491",92.22486
"20","ENV-COV-22-215",2022-08-01,"Central Wastewater Treatment Works (KZN)","KwaZulu-Natal","Ethekwini MM","B.1.1.529","0.99920106",61.361736
"21","ENV-COV-22-219",2022-08-02,"Bloemspruit Wastewater Treatment Works","Free State","Mangaung MM","BE.3 BA.5.11 BA.5","0.49885843 0.49801880 0.00160540",57.576163
"22","ENV-COV-22-222",2022-08-10,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","BA.5.2 BA.4.1 BA.5.2.57 BA.5 XE XV","0.49759293 0.28538209 0.12014414 0.05210053 0.02857854 0.01214458",99.244223
"23","ENV-COV-22-224",2022-08-11,"Goudkoppies Wastewater Treatment Works","Gauteng","Johannesburg MM","BA.4.6 BA.4.1.9","0.84268610 0.15674266",50.543424
"24","ENV-COV-22-225",2022-08-10,"Central Wastewater Treatment Works (KZN)","KwaZulu-Natal","Ethekwini MM","BA.5.2.18 BA.5.2.36 BA.5.2.56 CP.5 BA.5.2 BA.5.3.2 BA.5.3 BA.5.2.38 BA.5.2.54","0.22326847 0.22323518 0.22320664 0.13040800 0.09475087 0.04764959 0.04764959 0.00295858 0.00287805",92.49908
"25","ENV-COV-22-228",2022-08-16,"Goudkoppies Wastewater Treatment Works","Gauteng","Johannesburg MM","BE.3 BA.5.2.27 BA.4.8 BA.5.5 XAH","0.47409454 0.27421855 0.11476752 0.10573287 0.02845489",82.446577
"26","ENV-COV-22-229",2022-08-16,"Hartebeesfontein Waterworks","Gauteng","Ekurhuleni MM","BA.5.11 BA.5.2.1 BF.8 BE.7 BA.5.3.1 BA.5.3.2 BA.5.3 BA.5 XAD","0.48888487 0.14967141 0.14967141 0.07612568 0.04171852 0.04171852 0.04171852 0.00589962 0.00311330",87.385881
"27","ENV-COV-22-230",2022-08-15,"Central Wastewater Treatment Works (KZN)","KwaZulu-Natal","Ethekwini MM","AY.38 BA.5.2.12 BA.4.8 B.1.1.134 B.1.1.43 BA.3 B.1.1.89 AY.58","0.85404049 0.03615727 0.03511447 0.02860952 0.02537670 0.00867625 0.00193656 0.00113122",99.240879
"28","ENV-COV-22-231",2022-08-17,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","BA.5.5 BA.4.1.8 XBE BA.5 BA.5.2.10 XAZ","0.57842159 0.22878168 0.11010176 0.04106797 0.03665896 0.00163132",76.226466
"29","ENV-COV-22-235",2022-08-23,"Mdantsane Wastewater Treatment Works","Eastern Cape","Buffalo City MM","CP.5","0.99949889",90.011036
"30","ENV-COV-22-236",2022-08-23,"Sterkwater Wastewater Treatment Works","Free State","Mangaung MM","BA.5.5 BA.5.3 BA.4.1.9 BA.4.1 BA.4","0.40030552 0.15581515 0.14649536 0.14649536 0.14649536",85.178745
"31","ENV-COV-22-237",2022-08-25,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","BA.4.8 BE.6 BA.5.2 XAZ BA.2.16","0.32394490 0.32138285 0.26297580 0.04572898 0.04184773",85.319199
"32","ENV-COV-22-238",2022-08-23,"Bloemspruit Wastewater Treatment Works","Free State","Mangaung MM","BA.5.3 BA.5.11 BE.7 BA.5.2 BA.5.3.1 BF.7.20","0.48060116 0.28355041 0.12534000 0.10357033 0.00264837 0.00139082",96.84647
"33","ENV-COV-22-239",2022-08-30,"Hartebeesfontein Waterworks","Gauteng","Ekurhuleni MM","BA.5.11 BA.4.1.8 BF.28 BA.5.3 BA.5.2.19","0.50489274 0.21565499 0.18757100 0.04441630 0.04352764",96.348192
"34","ENV-COV-22-240",2022-08-30,"ERWAT Vlakplaat Wastewater Treatment Works","Gauteng","Ekurhuleni MM","BE.8 BA.5.11","0.71282100 0.28404285",59.753202
"35","ENV-COV-22-241",2022-08-30,"Goudkoppies Wastewater Treatment Works","Gauteng","Johannesburg MM","BA.5.11 BA.4.1.8 BE.8 BA.5 BA.5.1.2","0.49622820 0.28357300 0.10905500 0.05623200 0.05265812",96.124135
"36","ENV-COV-22-242",2022-08-29,"Central Wastewater Treatment Works (KZN)","KwaZulu-Natal","Ethekwini MM","BA.5.5 BF.12 BF.31 BA.5.2.1 BA.5.2 BA.1 BA.1.14.1","0.56421564 0.15880414 0.08778902 0.08778902 0.08778902 0.00658206 0.00177565",85.1754
"37","ENV-COV-22-243",2022-08-31,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","BE.8 BA.5.3.1 BA.4.7 BA.5.2 BA.5.11 BA.4.1.8 BE.7 BE.6","0.38005540 0.23766502 0.13456300 0.08031582 0.05836511 0.05427200 0.03645417 0.01486343",97.836337
"38","ENV-COV-22-244",2022-08-30,"Bloemspruit Wastewater Treatment Works","Free State","Mangaung MM","BA.5.11","0.99943104",79.129184
"39","ENV-COV-22-247",2022-08-30,"East Bank Wastewater Treatment Works","Eastern Cape","Buffalo City MM","BE.9","0.99917665",85.442932
"40","ENV-COV-22-248",2022-08-30,"Sterkwater Wastewater Treatment Works","Free State","Mangaung MM","BA.5.11 BA.5.3 BE.7 BA.5.3.1","0.83241983 0.10185381 0.06136029 0.00184889",96.271277
"41","ENV-COV-22-256",2022-09-06,"Bloemspruit Wastewater Treatment Works","Free State","Mangaung MM","BA.5.11","0.99940355",91.860348
"42","ENV-COV-22-257",2022-09-13,"Hartebeesfontein Waterworks","Gauteng","Ekurhuleni MM","BE.7 BE.6 BF.17 BA.5.2 BA.1 BA.5.5 BA.5.9 XV BF.10 BA.5.11 BA.5.3","0.26109023 0.23460324 0.13753059 0.09813318 0.09079045 0.05272647 0.03056550 0.02989269 0.02500314 0.01828539 0.01577698",99.244223
"43","ENV-COV-22-258",2022-09-13,"ERWAT Vlakplaat Wastewater Treatment Works","Gauteng","Ekurhuleni MM","BA.5.11 BA.5","0.99730410 0.00218400",64.729291
"44","ENV-COV-22-259",2022-09-13,"Goudkoppies Wastewater Treatment Works","Gauteng","Johannesburg MM","BA.5.3.1 BE.8 BE.7 BA.5.11","0.68024284 0.20171700 0.07445023 0.04200325",91.85366
"45","ENV-COV-22-261",2022-09-14,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","BA.5.11 BE.7 BE.6 BA.5.3.1 CP.3 BA.5.3.5 CP.5 BA.5.3 BF.31 BA.5.2.1 BA.5.2","0.19496958 0.16733000 0.16733000 0.10853078 0.09412160 0.08718960 0.08469510 0.03787500 0.01851672 0.01851672 0.01851672",90.944052
"46","ENV-COV-22-262",2022-09-20,"Hartebeesfontein Waterworks","Gauteng","Ekurhuleni MM","BA.1.1 BE.11 BA.5.1.30 BA.5.2.36 BE.8 BE.6 BA.1 BA.4.1.8 B.1.1.529","0.54396984 0.23056771 0.17439236 0.01683900 0.00980688 0.00782042 0.00581493 0.00497342 0.00116300",98.6289
"47","ENV-COV-22-263",2022-09-19,"Central Wastewater Treatment Works (KZN)","KwaZulu-Natal","Ethekwini MM","BA.5.11 BE.7 BE.6 BK.1","0.31113640 0.29529314 0.29529314 0.09651250",61.488814
"48","ENV-COV-22-264",2022-09-20,"Goudkoppies Wastewater Treatment Works","Gauteng","Johannesburg MM","BE.7 BA.5.11 BA.5.2.28 BA.4.1.8 BA.5 BA.4","0.44792934 0.28801137 0.12334090 0.05717040 0.04960336 0.02932614",94.82995
"49","ENV-COV-22-265",2022-09-20,"ERWAT Vlakplaat Wastewater Treatment Works","Gauteng","Ekurhuleni MM","CU.1 BA.5.1.37 BA.5.1.20 BA.5.1.26 BA.5.1.19 BA.5.1.6 BA.5.1.28 BA.5.1.3 BA.5.1.12 BA.5.1.24 BA.5.1.17 BA.5.1.22 BA.5.1 BA.5.5 BA.5.3","0.07109855 0.07109855 0.07109855 0.07109855 0.07109855 0.07109855 0.07109855 0.07109855 0.07109855 0.07109855 0.07109855 0.07109855 0.07109855 0.07109855 0.00208864",54.57312
"50","ENV-COV-22-266",2022-09-20,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","BE.8 BA.5.11 BE.7 BE.11 BA.5 BA.4.1 BF.27 BA.4.1.8 BA.5.3.1 BA.5.2.12 BA.4.4 XBP","0.24486300 0.22519199 0.15286600 0.10150500 0.06164765 0.04645009 0.04057760 0.03949100 0.03931052 0.03599005 0.00585699 0.00145344",98.455005
"51","ENV-COV-22-270",2022-09-27,"Hartebeesfontein Waterworks","Gauteng","Ekurhuleni MM","XAY.1.1 BE.11 BA.1.1 BA.5.2.50 BA.5.3 XAY.1","0.38389488 0.36491021 0.10279955 0.07380189 0.06809963 0.00210731",97.863091
"52","ENV-COV-22-271",2022-09-27,"Bloemspruit Wastewater Treatment Works","Free State","Mangaung MM","BA.5.3 BA.5.11","0.57621496 0.42216703",92.475671
"53","ENV-COV-22-272",2022-09-27,"Sterkwater Wastewater Treatment Works","Free State","Mangaung MM","BA.5.3 BA.5.11 BA.5.2 BE.7 BA.5.3.1","0.42866371 0.39019441 0.10269963 0.07427658 0.00171993",97.812928
"54","ENV-COV-22-273",2022-09-28,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","BE.8 BA.5.11 CP.5 BA.5.2.6 BQ.1.1 BE.7 BA.4.1.8 BE.1.1 BA.5.2.12 BA.4.1.9 BF.7.20","0.41783501 0.15652671 0.13724400 0.10874579 0.04423821 0.03550300 0.03213720 0.03081820 0.01890000 0.01245609 0.00127065",96.234492
"55","ENV-COV-22-284",2022-10-10,"Central Wastewater Treatment Works (KZN)","KwaZulu-Natal","Ethekwini MM","BA.5.11 BE.7 BE.6 BA.2.23 BF.7 BF.7.4 BF.12 BF.41 BA.5.2.1 BA.5.2","0.36781517 0.19508133 0.19508132 0.08355346 0.02566970 0.02566970 0.02566970 0.02566970 0.02566970 0.02566970",75.330234
"56","ENV-COV-22-285",2022-10-11,"ERWAT Vlakplaat Wastewater Treatment Works","Gauteng","Ekurhuleni MM","BA.5.2.1 BA.5.2 BA.5.3.1 BE.11 XAZ","0.26463743 0.26463743 0.16726763 0.16541250 0.13565711",86.355884
"57","ENV-COV-22-287",2022-10-11,"Bloemspruit Wastewater Treatment Works","Free State","Mangaung MM","BA.5.11","0.998843",95.054008
"58","ENV-COV-22-288",2022-10-11,"Sterkwater Wastewater Treatment Works","Free State","Mangaung MM","BA.5.11 BE.7 BA.5.3.5","0.62322143 0.25115865 0.12181800",91.331973
"59","ENV-COV-22-289",2022-10-12,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","BE.13 BA.5.11 BF.7.4 BF.7.12 BF.7","0.53710500 0.40534428 0.01794094 0.01794094 0.01794094",74.380497
"60","ENV-COV-22-291",2022-10-18,"Hartebeesfontein Waterworks","Gauteng","Ekurhuleni MM","BE.8 BA.5.11 BA.5.3.1 BQ.1.1 BQ.1.1.64 BQ.1.1.46 BQ.1.31 XBE BE.7 BQ.1.17","0.39416100 0.28204690 0.05756141 0.05594111 0.05125920 0.04341975 0.04282143 0.03381106 0.03092780 0.00135501",96.508712
"61","ENV-COV-22-292",2022-10-17,"Central Wastewater Treatment Works (KZN)","KwaZulu-Natal","Ethekwini MM","BA.5.3 BE.7","0.62480153 0.37337300",91.492492
"62","ENV-COV-22-293",2022-10-18,"ERWAT Vlakplaat Wastewater Treatment Works","Gauteng","Ekurhuleni MM","BE.8 BA.5.11 BE.7","0.63870500 0.28484510 0.07494933",93.739759
"63","ENV-COV-22-294",2022-10-18,"Goudkoppies Wastewater Treatment Works","Gauteng","Johannesburg MM","BE.7 BE.8 BA.5 BA.4.1.9 XAS BA.5.3","0.59142332 0.15744700 0.09498901 0.08699498 0.06504867 0.00271598",97.147443
"64","ENV-COV-22-296",2022-10-19,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","BE.8 BA.5.11 BE.13 BE.7 BE.1.1 BA.5.2 BQ.1.1.64 BQ.1.1.1 BA.5 BA.4.1.8 BA.5.2.62 BE.1.1.1 B.1.1.529","0.28268849 0.16151066 0.11214600 0.11063800 0.09336196 0.08317016 0.06551660 0.03036773 0.02189926 0.01762691 0.01269069 0.00249191 0.00126509",98.612179
"65","ENV-COV-22-297",2022-10-18,"Mdantsane Wastewater Treatment Works","Eastern Cape","Buffalo City MM","BE.9","0.999813",63.632411
"66","ENV-COV-22-299",2022-10-25,"Hartebeesfontein Waterworks","Gauteng","Ekurhuleni MM","BE.8 BA.5 BE.1 BA.5.3 BA.5.3.5","0.64352898 0.13687203 0.12315971 0.05210833 0.04227411",98.812828
"67","ENV-COV-22-300",2022-10-25,"Sterkwater Wastewater Treatment Works","Free State","Mangaung MM","BA.5.11 BE.11 BA.5.2 BA.5.3.1 BE.6","0.79493400 0.12196053 0.07590148 0.00284149 0.00139459",95.261345
"68","ENV-COV-22-301",2022-10-25,"Bloemspruit Wastewater Treatment Works","Free State","Mangaung MM","BA.5.11 BE.7","0.91466386 0.08291803",96.856503
"69","ENV-COV-22-304",2022-10-26,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","BE.8 BE.13 BQ.1.1.64 BQ.1.1 BA.4.1.9 FC.1 BE.1.1","0.32667800 0.25413100 0.15023300 0.09861733 0.08618749 0.07093596 0.00762182",98.57205
"70","ENV-COV-22-313",2022-11-08,"Hartebeesfontein Waterworks","Gauteng","Ekurhuleni MM","BA.5.2.6 BE.7 BA.5.11 BA.5.2 BE.8 CP.3","0.29256352 0.29075484 0.17864842 0.13470284 0.09799060 0.00141074",99.388021
"71","ENV-COV-22-314",2022-11-08,"ERWAT Vlakplaat Wastewater Treatment Works","Gauteng","Ekurhuleni MM","BA.5.11 BE.7 BE.8","0.90984704 0.08447793 0.00373149",98.555329
"72","ENV-COV-22-315",2022-11-07,"Central Wastewater Treatment Works (KZN)","KwaZulu-Natal","Ethekwini MM","BE.7 BA.5.3 BE.1 BA.5.11 BQ.1.1","0.85299521 0.05669163 0.04738642 0.03532200 0.00208935",99.434839
"73","ENV-COV-22-316",2022-11-08,"Bloemspruit Wastewater Treatment Works","Free State","Mangaung MM","BA.5.11 BA.5.3.5","0.94549487 0.05294147",86.620072
"74","ENV-COV-22-317",2022-11-08,"Sterkwater Wastewater Treatment Works","Free State","Mangaung MM","BE.7 BA.5.11 BA.5.3.2 BA.5.3","0.47577874 0.34329527 0.08909705 0.08909705",80.30298
"75","ENV-COV-22-318",2022-11-09,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","BE.7 BE.13 BA.5","0.46826540 0.28695400 0.24213810",96.053908
"76","ENV-COV-22-320",2022-11-14,"Borcheds Quarry Wastewater Treatment Works","Western Cape","Cape Town MM","BA.5.11 BE.7","0.92758771 0.06899672",98.060395
"77","ENV-COV-22-321",2022-11-14,"Central Wastewater Treatment Works (KZN)","KwaZulu-Natal","Ethekwini MM","BA.5.11","0.99817393",97.545397
"78","ENV-COV-22-331",2022-11-22,"Hartebeesfontein Waterworks","Gauteng","Ekurhuleni MM","BE.8","0.99724916",69.919406
"79","ENV-COV-22-332",2022-11-23,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","BE.13 BQ.1.1.64 BA.5.11","0.77944900 0.11664394 0.10065640",95.318195
"80","ENV-COV-22-335",2022-11-22,"Bloemspruit Wastewater Treatment Works","Free State","Mangaung MM","BE.1.1.1 BA.5.1.20 BA.5.1.27 BA.5.1.26 BA.5.3.1","0.32423675 0.20868445 0.20868445 0.20868445 0.04261662",80.062201
"81","ENV-COV-22-336",2022-11-22,"Sterkwater Wastewater Treatment Works","Free State","Mangaung MM","BA.5.11 BE.1.1.1","0.90868062 0.08547968",95.003846
"82","ENV-COV-22-337",2022-11-30,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","BA.5.3 BQ.1.3.2 BQ.1.3 BQ.1.24 BQ.1.19 BQ.1.5 BQ.1.15 BQ.1.2 BQ.1.20 BQ.1.7 BQ.1.11 BQ.1","0.68740645 0.02823329 0.02823329 0.02823329 0.02823329 0.02823329 0.02823329 0.02823329 0.02823329 0.02823329 0.02823329 0.02823329",51.988095
"83","ENV-COV-22-339",2022-11-29,"ERWAT Vlakplaat Wastewater Treatment Works","Gauteng","Ekurhuleni MM","BA.5.11 BQ.1.1.38 BQ.1.27","0.58261204 0.31047700 0.10536208",93.067585
"84","ENV-COV-22-340",2022-11-29,"Hartebeesfontein Waterworks","Gauteng","Ekurhuleni MM","BE.7","0.99961718",52.37936
"85","ENV-COV-22-341",2022-11-28,"Central Wastewater Treatment Works (KZN)","KwaZulu-Natal","Ethekwini MM","BE.7 XAY BE.1.1.1 BQ.1.1.38 BA.4.8","0.79358344 0.08092407 0.07064133 0.04021740 0.01242523",95.940207
"86","ENV-COV-22-344",2022-12-05,"Northern Wastewater Treatment Works (KZN)","KwaZulu-Natal","Ethekwini MM","BA.5.2.24 BE.13 BE.8 BA.5.1.20 BA.5.5 BA.5.2","0.22291002 0.20871194 0.18930200 0.14490295 0.12474057 0.10441955",93.53911
"87","ENV-COV-22-345",2022-12-05,"Central Wastewater Treatment Works (KZN)","KwaZulu-Natal","Ethekwini MM","BA.5.11 BE.8 BA.5.3.5 BA.5.3","0.50530856 0.28056100 0.11978700 0.09288929",94.729626
"88","ENV-COV-22-346",2022-12-06,"ERWAT Vlakplaat Wastewater Treatment Works","Gauteng","Ekurhuleni MM","BE.7 BA.5 BE.8 BQ.1.1.3 BA.2.23 XBE BE.13","0.72238966 0.10683521 0.08463700 0.04395173 0.03464258 0.00255240 0.00222029",97.538708
"89","ENV-COV-22-347",2022-12-06,"Bloemspruit Wastewater Treatment Works","Free State","Mangaung MM","BA.5.11","0.99947359",88.971006
"90","ENV-COV-22-350",2022-12-14,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","BQ.1.9 BQ.1.1.64","0.66413434 0.33430001",58.810153
"91","ENV-COV-22-353",2022-12-13,"Bloemspruit Wastewater Treatment Works","Free State","Mangaung MM","BE.1.1.1 BQ.1.1.14","0.88044280 0.11763362",60.709628
"92","ENV-COV-22-354",2022-12-13,"Hartebeesfontein Waterworks","Gauteng","Ekurhuleni MM","BQ.1.1.38 BQ.1.1.10 BQ.1.1.1 BQ.1.1.58 BQ.1.22 BQ.1.1.56 BQ.1.1","0.62019800 0.16258900 0.04283963 0.04283963 0.04283963 0.04283963 0.04283963",87.188576
"93","ENV-COV-23-3",2023-01-10,"Goudkoppies Wastewater Treatment Works","Gauteng","Johannesburg MM","BE.1.1 XBB.1.5 BA.5.3 XBB XBB.1.5.100 XBB.1.5.59 XBB.1.5.3 XBB.1.5.12 XBB.1.5.36 XBB.1.5.31","0.33249120 0.26800197 0.15273369 0.03613920 0.03204165 0.03204165 0.03204165 0.03204165 0.03204165 0.03204165",77.717955
"94","ENV-COV-23-8",2023-01-11,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","BQ.1.1.64 BQ.1.17 BQ.1.19 BQ.1.20 BQ.1.11 BQ.1 BQ.2 BE.1.1.1","0.40833494 0.08347427 0.08347427 0.08347427 0.08347427 0.08347427 0.08347427 0.08347427",56.997626
"95","ENV-COV-23-10",2023-01-17,"Hartebeesfontein Waterworks","Gauteng","Ekurhuleni MM","FA.1 BE.13 BE.1.2 BA.4.8 BA.2.21 EW.1 BQ.1.1.60","0.29530200 0.19565200 0.19464000 0.13115099 0.10747697 0.06786999 0.00760331",82.282714
"96","ENV-COV-23-25",2023-01-31,"Hartebeesfontein Waterworks","Gauteng","Ekurhuleni MM","BE.1.1.1 BQ.2 BQ.1.1.38 EW.1","0.24973259 0.24973259 0.24880626 0.24880428",64.521954
"97","ENV-COV-23-26",2023-02-01,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","BA.2.10","0.99938845",76.754841
"98","ENV-COV-23-47",2023-02-21,"Hartebeesfontein Waterworks","Gauteng","Ekurhuleni MM","XBB.1.5.88 BQ.1.1 BQ.1.1.38 XBB.1.5.83 XBB.1.5.91 BQ.1.1.11 BA.5 XAS","0.40386498 0.28145592 0.11404862 0.08472770 0.06572824 0.02359390 0.01113951 0.00644105",99.377989
"99","ENV-COV-23-50",2023-02-21,"Sterkwater Wastewater Treatment Works","Free State","Mangaung MM","BQ.1.1.38 EW.2","0.49969955 0.49969955",60.355148
"100","ENV-COV-23-51",2023-02-21,"Bloemspruit Wastewater Treatment Works","Free State","Mangaung MM","XBB.1.5.57 FZ.2 XBB.1.5.47 BA.5.3.5 XBB.1.5.83 XBB.1.5.5 XBB.1.5.37 XBB.1.5.48 XBB.1.5.15 XBB.1.5.49 XBB.1.5.17 XBB.1.5.96 XBB.1.5.6 XBB.1.5.39 XBB.1.5.32 XBB.1.5.56 XBB.1.5.9 XBW","0.66593879 0.06305550 0.06305550 0.02332163 0.01369751 0.01369751 0.01369751 0.01369751 0.01369751 0.01369751 0.01369751 0.01369751 0.01369751 0.01369751 0.01369751 0.01369751 0.01369751 0.00109649",61.615891
"101","ENV-COV-23-52",2023-02-27,"Central Wastewater Treatment Works (KZN)","KwaZulu-Natal","Ethekwini MM","XBB.1.5 XBB.1.5.84 BQ.1.1.38 XBB.2.4 XBB.1.5.57 XBB.1.5.4 XBB.1.5.61","0.32494353 0.28190100 0.14751533 0.09786975 0.07487138 0.05639020 0.00859293",93.786577
