"","Sample","Date","Site","Province","District","Lineages","Abundances","Coverage"
"102","ENV-COV-23-56",2023-02-28,"Bloemspruit Wastewater Treatment Works","Free State","Mangaung MM","XBB.1.5.17 XBB.1.22 FL.2 FL.21 XBB.1.9.1","0.60182366 0.13840329 0.08433978 0.08433978 0.08433978",90.816975
"103","ENV-COV-23-57",2023-02-28,"ERWAT Vlakplaat Wastewater Treatment Works","Gauteng","Ekurhuleni MM","EW.1 BQ.1.1.74 EW.3 XAS FN.1 BA.5.3.1","0.58431900 0.18926225 0.10823700 0.06210917 0.04120463 0.00687981",96.000401
"104","ENV-COV-23-61",2023-03-07,"ERWAT Vlakplaat Wastewater Treatment Works","Gauteng","Ekurhuleni MM","XBB.1.5.83","0.99851285",93.30502
"105","ENV-COV-23-63",2023-03-06,"Northern Wastewater Treatment Works (KZN)","KwaZulu-Natal","Ethekwini MM","XBB.1.5.59 XBB.1.22","0.98876257 0.00303133",96.348192
"106","ENV-COV-23-64",2023-03-08,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","XBB.1.5.83","0.99910388",65.739223
"107","ENV-COV-23-66",2023-03-14,"ERWAT Vlakplaat Wastewater Treatment Works","Gauteng","Ekurhuleni MM","XBB.1.5.59 XBB.1.5.66","0.98959548 0.00113931",98.441628
"108","ENV-COV-23-67",2023-03-14,"Hartebeesfontein Waterworks","Gauteng","Ekurhuleni MM","XBB.1.5.81","0.99915899",75.253319
"109","ENV-COV-23-72",2023-03-22,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","XBB.1.5.83 FL.4.8 XBB.1.5.88 XBB.1.5.25 XBB.1.5.81 XBB.1.9.1 FL.2 XBL XBB.1.5.28","0.19906500 0.17266909 0.14542200 0.13964314 0.12552700 0.06799629 0.06799629 0.05282313 0.02396264",95.59576
"110","ENV-COV-23-73",2023-03-21,"Sterkwater Wastewater Treatment Works","Free State","Mangaung MM","XBB.1.5.25","0.99919447",57.288566
"111","ENV-COV-23-75",2023-03-29,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","XBB.1.9 XBB.1.5.83 XBB.1.5.81 XBB.1.9.1 FL.2 JB.1 XBB.1.22 XBB.1.5.91 JB.2 XBB.1.5.17 XBB.1.5.25 FY.5 XBB.1.45","0.26044021 0.16136600 0.11509822 0.11038023 0.11038023 0.08671738 0.07497436 0.05989410 0.00684179 0.00216528 0.00137931 0.00128072 0.00108499",93.365214
"112","ENV-COV-23-76",2023-03-27,"Northern Wastewater Treatment Works (KZN)","KwaZulu-Natal","Ethekwini MM","XBB.1.5.25 XBB.1.5.84 XBB.1.9 FL.2 XBB.1.9.1 XBB.1.5 XBB.1.5.35 XBB.1.4","0.29114100 0.26851688 0.12704989 0.07954971 0.07954971 0.06513020 0.04141550 0.04059740",95.625857
"113","ENV-COV-23-77",2023-03-27,"Central Wastewater Treatment Works (KZN)","KwaZulu-Natal","Ethekwini MM","XBB.1.5.83 XBB.1.5.17 XBB.2.4 XBB.1.9.1 XBB.1.5.12 XBB.1.5.57 XBB.1.9","0.54159200 0.30530011 0.05977431 0.05255619 0.02274647 0.00616812 0.00509670",94.913554
"114","ENV-COV-23-78",2023-03-28,"Hartebeesfontein Waterworks","Gauteng","Ekurhuleni MM","XBB.1.5.17 XBB.1.5.25 XBB.1.9.1 FL.9 XBB.1.5.66 FD.2 XBB.1.9 XBB.1.5.8","0.47959214 0.14268900 0.12208423 0.12208423 0.05595891 0.03855428 0.03249901 0.00124863",93.004046
"115","ENV-COV-23-79",2023-03-28,"ERWAT Vlakplaat Wastewater Treatment Works","Gauteng","Ekurhuleni MM","XBB.1.5.64 XBB.1.5.17 XBB.1.5.32 XBB.1.5.86 XBB.1.5.59 XBB.1.5.95 XBB.1.5.79 XBB.1.5.62 XBB.1.5.3","0.11048063 0.11048063 0.11048063 0.11048063 0.11048063 0.11048063 0.11048063 0.11048063 0.11048063",84.195566
"116","ENV-COV-23-81",2023-03-28,"Bloemspruit Wastewater Treatment Works","Free State","Mangaung MM","XBB.1.5.25 XBB.1.5.83 XBB.1.5.81","0.45366825 0.29321600 0.25134895",92.930475
"117","ENV-COV-23-121",2023-04-25,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","XBB.1.5.81 XBB.1.5.40 XBB.1.5.83 FL.2 JB.2 XBB.1.9.1 XBB.1.9 XBB.1.5.23 XBB.1.5.28","0.28825453 0.18924505 0.18510500 0.16594459 0.08461524 0.03865813 0.02201741 0.01102877 0.00955884",94.983781
"118","ENV-COV-23-124",2023-04-25,"Hartebeesfontein Waterworks","Gauteng","Ekurhuleni MM","XBB.1.5.25 XBB.1.5.81 XBB.1.5.88 JB.1 XBB.1.22 XBB.1.5.59 XBB.1.5.2 FL.12 EM.1 XBB.1.5.61 XBB.1.5.84","0.39233001 0.15887912 0.14815540 0.09717100 0.06485421 0.04613788 0.04613734 0.03540685 0.00152903 0.00121508 0.00104059",94.258101
"119","ENV-COV-23-125",2023-04-25,"Sterkwater Wastewater Treatment Works","Free State","Mangaung MM","XBB.1.5.81 XBB.1.5.84 FL.4.8 JB.1 XBB.1.5.28 FL.4","0.74535988 0.17078800 0.04339184 0.01408450 0.00884613 0.00788172",96.769555
"120","ENV-COV-23-126",2023-04-26,"Bloemspruit Wastewater Treatment Works","Free State","Mangaung MM","XBB.1.5.83 XBB.1.5.17 XBB.1.5.65 XBB.1.5.81 XBB.1.5.84 XBB.1.22","0.42217800 0.13419271 0.12574000 0.12305533 0.10004100 0.08853432",96.592315
"121","ENV-COV-23-151",2023-05-09,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","XBB.1.5.81 XBB.1.5.17 XBB.1.5.28","0.47151630 0.42885275 0.09281501",93.893589
"122","ENV-COV-23-152",2023-05-09,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","XBB.1.9.1 XBB.1.5.81 XBB.1.5.4 XBB.1.16.19 XBB.1.5.47 XBB.1.16 XBB.1.5.17 XBB.1.5","0.39503274 0.31010417 0.09690647 0.07868590 0.07124680 0.02413295 0.00744002 0.00426537",98.247667
"123","ENV-COV-23-159",2023-05-09,"Hartebeesfontein Waterworks","Gauteng","Ekurhuleni MM","XBB.1.5.81 XBB.1.16.1 XBB.1.5.83 XBB.1.5.59 XBB.1.5.71 XBB.1.9.1 XBB.1.23 XBB.1.5.28","0.29706818 0.28433856 0.15374200 0.10607856 0.10056800 0.02034308 0.01280350 0.01270951",98.739257
"124","ENV-COV-23-160",2023-05-10,"ERWAT Vlakplaat Wastewater Treatment Works","Gauteng","Ekurhuleni MM","XBB.1.5.81","0.99935955",96.445173
"125","ENV-COV-23-167",2023-05-10,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","XBB.1.5.81 XBB.1.22 FY.5","0.60943880 0.24276390 0.14367231",91.753336
"126","ENV-COV-23-193",2023-05-16,"Hartebeesfontein Waterworks","Gauteng","Ekurhuleni MM","XBB.1.5.81 XBB.1.5.27 XBB.1.5.78 XBB.1.5.83","0.52457500 0.20021775 0.13582255 0.13582255",83.84443
"127","ENV-COV-23-195",2023-05-15,"Central Wastewater Treatment Works (KZN)","KwaZulu-Natal","Ethekwini MM","XBB.1.16 FL.18 FL.2 FL.12 FL.5 FL.6 XBB.1.9.1 XBB.1.5.26 XBB.1.5.14","0.28172762 0.11170441 0.11170441 0.11170441 0.11170441 0.11170441 0.11170441 0.02047736 0.02047736",86.396014
"128","ENV-COV-23-196",2023-05-16,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","XBB.1.5.91 XBB.1.5.81 XBB.1.5.7 XBB.1.42 XBB.1.5.3","0.42106092 0.30640163 0.13163607 0.12896694 0.00433072",91.281811
"129","ENV-COV-23-197",2023-05-16,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","XBB.1.5 JB.1 XBB.1.22 XBB.1.5.53 XBB.2.9 XBB.1.5.64","0.40808414 0.32996781 0.20836644 0.04225628 0.00200000 0.00115741",91.375447
"130","ENV-COV-23-210",2023-05-17,"Sterkwater Wastewater Treatment Works","Free State","Mangaung MM","XBB.1.5.61 FL.4 XBB.1.22 FL.18 FL.2 XBB.1.9.1","0.57950132 0.20024425 0.18382332 0.00898511 0.00898511 0.00898511",94.134368
"131","ENV-COV-23-211",2023-05-17,"Bloemspruit Wastewater Treatment Works","Free State","Mangaung MM","XBB.1.5.53 XBB.1.22 XBB.1.5.10 XBB.1.5.49 XBB.1.5.65 XBB.1.5.37 XBB.1.5.19 XBB.1.5.48 XBB.1.5.9 XBB.1.5.100 XBB.1.5.33 XBB.1.5.16 XBB.1.5.26 XBB.1.5.63 XBB.1.5.59 XBB.1.5.55 XBB.1.5.31 XBB.1.5.7","0.33531000 0.23916952 0.02625633 0.02625633 0.02625633 0.02625633 0.02625633 0.02625633 0.02625633 0.02625633 0.02625633 0.02625633 0.02625633 0.02625633 0.02625633 0.02625633 0.02625633 0.02625633",68.35769
"132","ENV-COV-23-220",2023-05-19,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","XBB.1.5.28 XBB.1.5.91 FL.2 FL.4.8 XBB.1.5.81","0.53818975 0.26024455 0.19066328 0.00505803 0.00139860",90.950741
"133","ENV-COV-23-221",2023-05-19,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","XBB.1.5.61 XBB.1.42 XBB.1.5.81 XBB.2.3 XBB.1.22 XBB.1.5.63","0.29387787 0.24776138 0.24215100 0.16943500 0.03959974 0.00126103",86.302378
"134","ENV-COV-23-257",2023-05-26,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","XBB.1.5.81 XBB.1.5.25","0.56812901 0.43110741",65.705782
"135","ENV-COV-23-285",2023-05-23,"Sterkwater Wastewater Treatment Works","Free State","Mangaung MM","XBB.1.5.17 XBB.1.22 XBB.1.5.81 XBB.1.5","0.74871359 0.12797387 0.10161284 0.01448306",96.582283
"136","ENV-COV-23-286",2023-05-23,"Bloemspruit Wastewater Treatment Works","Free State","Mangaung MM","XBB.1.5.81 XBB.1.5.37 XBB.1.5.48 XBB.1.5.17","0.40477854 0.19711546 0.19711546 0.19711546",90.750092
"137","ENV-COV-23-290",2023-05-30,"Bloemspruit Wastewater Treatment Works","Free State","Mangaung MM","XBB.1.5.81 XBB.1.5.27 XBB.1.5.61","0.99473081 0.00227894 0.00116178",92.091095
"138","ENV-COV-23-359",2023-06-14,"Sterkwater Wastewater Treatment Works","Free State","Mangaung MM","XBB.1.5.81 GN.3 XBB.1.5.73","0.95039957 0.02350104 0.02350104",59.425476
"139","ENV-COV-23-541",2023-07-18,"Northern Wastewater Treatment Works (KZN)","KwaZulu-Natal","Ethekwini MM","CH.1.1.19 CJ.1","0.85389215 0.14343845",79.105775
"140","ENV-NIC-22-0358",2022-05-24,"Goudkoppies Wastewater Treatment Works","Gauteng","Johannesburg MM","BA.4.1.9 BA.4.1.5 BA.4.1 BA.4 BA.2.16","0.24804249 0.24804249 0.24804249 0.24804249 0.00515075",67.414641
"141","ENV-NIC-22-0411",2022-06-07,"Hartebeesfontein Waterworks","Gauteng","Ekurhuleni MM","BA.4.8 BA.5.3.5 BA.4.1 BA.4.1.6 BA.4 BA.5 XAP BA.4.1.1","0.30182284 0.22714083 0.16138746 0.16138746 0.12195791 0.02062579 0.00145076 0.00145051",89.409089
"142","ENV-NIC-22-0502",2022-07-05,"Hartebeesfontein Waterworks","Gauteng","Ekurhuleni MM","BA.1.1 BA.1.18 BA.1.13 BA.1.9 BA.1.19","0.24920043 0.24920043 0.24920043 0.24920043 0.00100705",58.422232
"143","ENV-NIC-22-0503",2022-07-04,"Central Wastewater Treatment Works (KZN)","KwaZulu-Natal","Ethekwini MM","B.1.617.2 AY.95 AY.92 AY.33 AY.88 AY.46.4 AY.46 AY.3 AY.126 AY.1 AY.116 AY.106 AY.111 AY.103","0.37882510 0.04756252 0.04756252 0.04756252 0.04756252 0.04756252 0.04756252 0.04756252 0.04756252 0.04756252 0.04756252 0.04756252 0.04756252 0.04756252",66.67224
"144","ENV-NIC-22-0504",2022-07-05,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","B.1.1.132 BA.4.1.9 BA.2.56 XBE BF.12 BA.4.8 BA.5.2.1","0.35943385 0.25741000 0.10933461 0.10038990 0.07327947 0.05163322 0.04341942",88.940909
"145","ENV-NIC-22-0610",2022-07-26,"Goudkoppies Wastewater Treatment Works","Gauteng","Johannesburg MM","BA.4.1.8 BE.3 BA.4.8","0.63580600 0.20757536 0.15558929",77.025716
"146","ENV-NIC-22-0619",2022-08-02,"Hartebeesfontein Waterworks","Gauteng","Ekurhuleni MM","BA.4.1.9 BA.4.8 BA.5.5 BA.5.2.4 BA.5.11 BA.5","0.48668626 0.21466814 0.17676244 0.04499311 0.04388503 0.03014500",93.896933
"147","ENV-NIC-22-0626",2022-08-03,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","BF.2 BA.5.5 BA.5 BA.5.3.3","0.51098887 0.47470021 0.01309697 0.00121359",78.075778
"148","ENV-NIC-22-0635",2022-08-10,"Borcheds Quarry Wastewater Treatment Works","Western Cape","Cape Town MM","BA.5.3 BA.5.3.2 BA.4 BA.5.3.5 BA.5 BA.5.1 BA.5.1.23 BA.5.1.12","0.21913064 0.21913064 0.15984815 0.14879196 0.06617100 0.06106002 0.06106002 0.06106002",84.954687
"149","ENV-NIC-22-0644",2022-08-10,"Kwanobuhle Wastewater Treatment Works","Eastern Cape","Nelson Mandela Bay MM","BA.4.1.9","0.99951142",59.385346
"150","ENV-NIC-22-0645",2022-08-10,"Brickfield Pre-treatment Works","Eastern Cape","Nelson Mandela Bay MM","BA.5.11 BA.5","0.99784677 0.00160251",76.788282
"151","ENV-NIC-22-0646",2022-08-16,"Bloemspruit Wastewater Treatment Works","Free State","Mangaung MM","BA.5.3.1 BA.5.3.2 BA.5.3 BA.5.11","0.25850393 0.25850393 0.25850393 0.22226281",81.737618
"152","ENV-NIC-22-0669",2022-08-22,"Central Wastewater Treatment Works (KZN)","KwaZulu-Natal","Ethekwini MM","BF.41 BF.31 BA.5.2.1 BF.8 DE.1 BA.5.1.23 BA.5.1.34 BA.5.2 BA.5.1 BA.5","0.24311925 0.24311925 0.24311925 0.24311925 0.00456643 0.00456643 0.00456643 0.00456643 0.00456643 0.00456643",63.702639
"153","ENV-NIC-22-0670",2022-08-23,"ERWAT Vlakplaat Wastewater Treatment Works","Gauteng","Ekurhuleni MM","BA.5.2.4 BA.5.11 BA.5.5 BA.4.7","0.36270863 0.28857561 0.18086377 0.16641526",92.602749
"154","ENV-NIC-22-0671",2022-08-23,"Goudkoppies Wastewater Treatment Works","Gauteng","Johannesburg MM","BA.4.1.6 BA.4.1 BA.4.1.9 BA.4.2 BA.4","0.26043716 0.26043716 0.26043716 0.10811811 0.10811811",60.783199
"155","ENV-NIC-22-0717",2022-09-06,"Hartebeesfontein Waterworks","Gauteng","Ekurhuleni MM","XAP BA.1.7 BA.1.19 BA.1.21 BA.5.3 BA.5.3.4 BA.5.3.2 BA.5.3.3","0.71564160 0.09039017 0.09039017 0.09039017 0.00290728 0.00290728 0.00290728 0.00290728",71.05976
"156","ENV-NIC-22-0718",2022-09-07,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","BA.5.3.1 BA.5.3","0.49959417 0.49959417",87.974451
"157","ENV-NIC-22-0734",2022-09-13,"Northern Wastewater Treatment Works (GP)","Gauteng","Johannesburg MM","CP.3 CP.5 BA.2.23 BE.7 BE.6 BE.9 XBE BF.16 BF.7.4 BF.7.27 BF.29 BF.7.6 BF.7.19 BF.7 BF.7.23 BF.7.12 BF.38 BF.31 BF.41 BF.18 BF.12 BA.5.2.1 BA.5.2","0.24470400 0.23426000 0.17419097 0.03770700 0.03770700 0.03770700 0.01675418 0.01311689 0.01311689 0.01311689 0.01311689 0.01311689 0.01311689 0.01311689 0.01311689 0.01311689 0.01311689 0.01311689 0.01311689 0.01311689 0.01311689 0.01311689 0.01311689",54.181855
"158","ENV-NIC-22-0755",2022-09-20,"Sterkwater Wastewater Treatment Works","Free State","Mangaung MM","BA.5.11 BA.5.3 BA.5.2","0.77670178 0.21145618 0.00850979",95.575695
"159","ENV-NIC-22-0756",2022-09-20,"Bloemspruit Wastewater Treatment Works","Free State","Mangaung MM","BA.5.11 BA.5.3 BE.7 BA.5.3.1","0.77431178 0.18101539 0.04066337 0.00164677",97.087249
"160","ENV-NIC-22-0764",2022-09-26,"Central Wastewater Treatment Works (KZN)","KwaZulu-Natal","Ethekwini MM","BA.5.2.21 BE.6 XBE BE.7 BA.5.11 BA.5","0.29982553 0.21302343 0.15181924 0.14089633 0.14084892 0.05216832",91.947296
"161","ENV-NIC-22-0766",2022-09-27,"Goudkoppies Wastewater Treatment Works","Gauteng","Johannesburg MM","BE.8 BA.5.3 BA.4.1.8 BA.5 BA.4.8 BE.3 BA.5.11","0.34257799 0.28660014 0.23845200 0.12145338 0.00444622 0.00369005 0.00136049",96.334816
"162","ENV-NIC-22-0809",2022-10-10,"Zandvleit Wastewater Treatment Works","Western Cape","Cape Town MM","BE.7 BA.5.11 BA.5.3.1 BA.5.2.1 BA.5.2 BA.5.3.5","0.40287000 0.24101871 0.09299703 0.09291600 0.09291600 0.07581750",91.683109
"163","ENV-NIC-22-0810",2022-10-10,"Borcheds Quarry Wastewater Treatment Works","Western Cape","Cape Town MM","BA.5.3 BE.6 BE.7 BA.5.3.5 BA.5.3.1 BF.31 BF.18 BA.5.2 BA.5.2.1 BA.5.11 BA.5.3.2","0.19519237 0.16557950 0.16557950 0.13198500 0.10292710 0.04848937 0.04848937 0.04848937 0.04848937 0.04046853 0.00117463",84.723941
"164","ENV-NIC-22-0811",2022-10-11,"Kwanobuhle Wastewater Treatment Works","Eastern Cape","Nelson Mandela Bay MM","CU.1 BE.6 BE.7 XAK BA.5.11 BF.7.4 BF.36 BF.29 BF.7.6 BF.7.12 BF.7.23 BF.38 BF.7 BF.41 BF.31 BF.12 BF.18 BA.5.2.1 BA.5.2","0.33031800 0.13974339 0.13974339 0.08282571 0.04874216 0.01803926 0.01803926 0.01803926 0.01803926 0.01803926 0.01803926 0.01803926 0.01803926 0.01803926 0.01803926 0.01803926 0.01803926 0.01803926 0.01803926",62.528843
"165","ENV-NIC-22-0812",2022-10-11,"Brickfield Pre-treatment Works","Eastern Cape","Nelson Mandela Bay MM","BE.13 BA.5.11 BA.2.23 BF.12 B.1.1.282 B.1.1.119 BF.31 BA.5.2 BA.5.2.1 BF.41 BA.2.78 BA.2.38 BA.2.12 BA.2.37 XU","0.43016751 0.14335428 0.06823908 0.06451667 0.03921451 0.03921451 0.03382793 0.03382793 0.03382793 0.03382793 0.01759796 0.01759796 0.01759796 0.01759796 0.00414313",75.163027
"166","ENV-NIC-22-0829",2022-10-18,"Bloemspruit Wastewater Treatment Works","Free State","Mangaung MM","BA.5.11 BE.7","0.62597023 0.37316299",88.456008
"167","ENV-NIC-22-0830",2022-10-18,"Sterkwater Wastewater Treatment Works","Free State","Mangaung MM","BA.5.11","0.99929575",94.629301
"168","ENV-NIC-22-0900",2022-10-24,"Central Wastewater Treatment Works (KZN)","KwaZulu-Natal","Ethekwini MM","BE.7 BE.8 BE.1.2 BA.5.3.5 BA.5.11 BQ.1.1.56 BE.6","0.80125268 0.07615340 0.06068304 0.02295565 0.01834261 0.01153694 0.00471515",99.575293
"169","ENV-NIC-22-0901",2022-10-25,"Goudkoppies Wastewater Treatment Works","Gauteng","Johannesburg MM","BQ.1.1.38 BA.5 BQ.1.1.14 BE.8","0.68445288 0.14102312 0.09791129 0.07199357",97.866435
"170","ENV-NIC-22-0902",2022-10-25,"ERWAT Vlakplaat Wastewater Treatment Works","Gauteng","Ekurhuleni MM","BE.7 BA.5.1.20 BA.5.1.27 BA.5.1.28","0.83692098 0.05341360 0.05341360 0.05341360",75.22991
"171","ENV-NIC-22-0987",2022-11-21,"Central Wastewater Treatment Works (KZN)","KwaZulu-Natal","Ethekwini MM","BE.7 BQ.1.1.3 BE.1.1 BA.5.11 BQ.1.1.38","0.50516100 0.24727000 0.11028326 0.10740607 0.02406476",97.919941
"172","ENV-NIC-22-0988",2022-11-21,"Northern Wastewater Treatment Works (KZN)","KwaZulu-Natal","Ethekwini MM","BE.7 BA.5 BA.4.1.8 BQ.1.1.10 BQ.1.1.46","0.80459827 0.10567834 0.04447109 0.02204577 0.01512038",99.324482
"173","ENV-NIC-22-0990",2022-11-22,"ERWAT Vlakplaat Wastewater Treatment Works","Gauteng","Ekurhuleni MM","BA.5.11 BE.8 BA.5.5 BA.5.5.3","0.40773672 0.32927400 0.25298974 0.00582116",80.18259
"174","ENV-NIC-22-1020",2022-11-29,"Goudkoppies Wastewater Treatment Works","Gauteng","Johannesburg MM","BA.5.11 BE.8 DR.1 BE.1","0.31256833 0.26964300 0.23810381 0.17617942",91.174799
"175","ENV-NIC-22-1035",2022-12-06,"Hartebeesfontein Waterworks","Gauteng","Ekurhuleni MM","BE.8 BE.13 BA.5 BE.7 BA.5.5 BA.5.2","0.33882973 0.31653000 0.13786191 0.13058800 0.05579435 0.01686862",97.087249
"176","ENV-NIC-22-1036",2022-12-06,"Northern Wastewater Treatment Works (GP)","Gauteng","Johannesburg MM","BE.7 BA.5.11 BE.8 BA.4.1.9 BA.4.8 BQ.1.1.64","0.30314595 0.28294139 0.27920700 0.06973010 0.04183921 0.02124930",94.973748
"177","ENV-NIC-22-1037",2022-12-07,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","BE.7","0.99920364",65.762633
"178","ENV-NIC-22-1085",2022-12-13,"Kwanobuhle Wastewater Treatment Works","Eastern Cape","Nelson Mandela Bay MM","BE.1.2 BE.7 BQ.1.1.46 BQ.1.1.32 DT.3 BQ.1.1.66 BQ.1.1.37 BQ.1.1.47 BQ.1.1.67 BQ.1.1.9 BQ.1.1.56 BQ.1.1 BE.8","0.46938036 0.32604188 0.01946744 0.01946744 0.01946744 0.01946744 0.01946744 0.01946744 0.01946744 0.01946744 0.01946744 0.01946744 0.00606061",85.8041
"179","ENV-NIC-23-0021",2023-01-09,"Zandvleit Wastewater Treatment Works","Western Cape","Cape Town MM","FC.1 EW.1 BE.1 BA.5","0.37503795 0.23406600 0.19213383 0.18998972",87.104973
"180","ENV-NIC-23-0044",2023-01-17,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","BQ.1.1.38 BA.5.11 BE.1 BA.5.6","0.63422012 0.28384934 0.07815903 0.00168066",77.530683
"181","ENV-NIC-23-0226",2023-02-28,"Hartebeesfontein Waterworks","Gauteng","Ekurhuleni MM","XBB.1.5.88 XBB.1.5.24 XBB.1.5.81 BQ.1.1 EW.1","0.42377762 0.28780695 0.18728435 0.07732441 0.01333330",95.000502
"182","ENV-NIC-23-0227",2023-03-01,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","XBB.1.5.25 JB.1 XBB.1.9.1 FL.2 XBB.1.5.4 BA.5.1.20 XBW BA.5.1.33","0.23962200 0.15674600 0.13740150 0.13740150 0.13594317 0.11240208 0.06855790 0.00121536",96.097382
"183","ENV-NIC-23-0279",2023-03-13,"Zandvleit Wastewater Treatment Works","Western Cape","Cape Town MM","XBB.1.5.83","0.99901246",51.212253
"184","ENV-NIC-23-0281",2023-03-06,"Kwanobuhle Wastewater Treatment Works","Eastern Cape","Nelson Mandela Bay MM","XBB.1.5.59","0.99395145",95.579039
"185","ENV-NIC-23-0292",2023-03-22,"ERWAT Vlakplaat Wastewater Treatment Works","Gauteng","Ekurhuleni MM","XBB.1.5.83 XBB.1.5.40 XBB.1.5.28","0.70740544 0.15975000 0.12936766",97.685851
"186","ENV-NIC-23-0305",2023-03-22,"Central Wastewater Treatment Works (KZN)","KwaZulu-Natal","Ethekwini MM","XBB.1.22 XBB.1.5.83 XBB.1.5.17 XBB.1.5.47 XBB.1.9 XBB.1.5.59 XBB.1.5.100 XBB.1.5.31 XBB.1.5.6","0.37603057 0.24287600 0.17885501 0.07640690 0.02945081 0.02937973 0.02937973 0.02937973 0.00228311",94.512256
"187","ENV-NIC-23-0459",2023-04-24,"Central Wastewater Treatment Works (KZN)","KwaZulu-Natal","Ethekwini MM","XBB.1.22 XBB.1.5.64 HS.1 XBB.1.5.86 XBB.1.5.26 XBB.1.5.104 XBB.1.5.59 XBB.1.5.95 XBB.1.5.40 XBB.1.5.12 XBB.1.5.28 XBB.1.5.30 XBB.1.5.3","0.84280769 0.01243797 0.01243797 0.01243797 0.01243797 0.01243797 0.01243797 0.01243797 0.01243797 0.01243797 0.01243797 0.01243797 0.01243797",78.828211
"188","ENV-NIC-23-0460",2023-04-24,"Northern Wastewater Treatment Works (KZN)","KwaZulu-Natal","Ethekwini MM","FL.18 XBB.1.9.1 XBB.1.5.77 XBB.1.5.19 XBB.1.5.49","0.38086889 0.38086889 0.11641888 0.11641888 0.00189036",87.278868
"189","ENV-NIC-23-0461",2023-04-25,"ERWAT Vlakplaat Wastewater Treatment Works","Gauteng","Ekurhuleni MM","HT.2 XBB.1.5.49 XBB.1.5.88 XBB.1.5.25 XBB.1.5.17","0.19955060 0.19955060 0.19955060 0.19955060 0.19955060",77.497241
"190","ENV-NIC-23-0499",2023-05-09,"Sterkwater Wastewater Treatment Works","Free State","Mangaung MM","XBB.1.22 XBB.1.5.83 XBB.1.9 FL.4 XBB.1.5.55 XBB.1.5.59 XBB.1.5.84 HA.1","0.41868550 0.17111900 0.16328159 0.15134114 0.03261539 0.03261539 0.02205880 0.00100276",96.087349
"191","ENV-NIC-23-0501",2023-05-09,"Kwanobuhle Wastewater Treatment Works","Eastern Cape","Nelson Mandela Bay MM","JB.2.1 XBB.1.5.96 FL.2 JB.2 XBB.1.5.53 XBB.1.22 XBB.1.9.4 XBB.1.9 FL.10","0.53760300 0.16303673 0.14762626 0.06129657 0.06001543 0.01112861 0.00556912 0.00556912 0.00135094",93.652811
"192","ENV-NIC-23-0784",2023-07-10,"Borcheds Quarry Wastewater Treatment Works","Western Cape","Cape Town MM","BA.2.79.1 XBB","0.54549989 0.44669923",62.318162
"193","ENV-NIC-23-0791",2023-07-11,"Brickfield Pre-treatment Works","Eastern Cape","Nelson Mandela Bay MM","CH.1.1.19","0.9976918",97.267833
